Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization
yqjC	b3097	3248969	3249337	DUF1090 domain-containing protein YqjC	UNCHARACTERIZED
yqgA	b2966	3109553	3110260	DUF554 domain-containing protein YqgA	UNCHARACTERIZED
yqaA	b2689	2816512	2816940	DedA family protein YqaA	PARTIAL
metN	b0199	221614	222645	L-methionine/D-methionine ABC transporter ATP binding subunit	WELL-CHARACTERIZED
ydgD	b1598	1671960	1672781	putative serine protease YdgD	PARTIAL
queE	b2777	2904747	2905418	putative 7-carboxy-7-deazaguanine synthase QueE	PARTIAL
hokD	b1562	1645119	1645274	Qin prophage; toxic protein HokD	WELL-CHARACTERIZED
cbrC	b3717	3898022	3898609	PF03691 family colicin E2 tolerance protein CbrC	PARTIAL
yjbI	b4038	4250703	4252283	pentapeptide repeats-containing protein YjbI	
flgO	b4826	1140986	1141063	small RNA FlgO	PARTIAL
livF	b3454	3592724	3593437	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF	WELL-CHARACTERIZED
tas	b2834	2971597	2972637	putative NADP(H)-dependent aldo-keto reductase Tas	PARTIAL
nhoA	b1463	1534024	1534869	arylamine <i>N</i>-acetyltransferase	PARTIAL
yadS	b0157	177001	177624	PF03458 family protein YadS	UNCHARACTERIZED
fabI	b1288	1350251	1351039	enoyl-[acyl-carrier-protein] reductase	WELL-CHARACTERIZED
ecpB	b0292	309358	310026	putative fimbrial chaperone EcpB	PARTIAL
lptB	b3201	3343944	3344669	lipopolysaccharide transport system ATP binding protein LptB	WELL-CHARACTERIZED
insA7	b4294	4518527	4518802	KpLE2 phage-like element; IS1 repressor protein InsA	PARTIAL
dsrA	b1954	2025223	2025313	small regulatory RNA DsrA	PARTIAL
idnO	b4266	4492587	4493351	5-keto-D-gluconate 5-reductase	WELL-CHARACTERIZED
stfQ	b1547	1634885	1635847	Qin prophage; putative prophage side tail fiber protein StfQ	PARTIAL
deoD	b4384	4620883	4621602	purine nucleoside phosphorylase	WELL-CHARACTERIZED
sroH	b4691	4190327	4190487	small RNA SroH	PARTIAL
yedS	b4496	2034051	2035243	putative outer membrane protein YedS, N-terminal fragment	
prpB	b0331	348682	349572	2-methylisocitrate lyase	WELL-CHARACTERIZED
nrdE	b2675	2801348	2803492	ribonucleoside-diphosphate reductase 2 subunit &alpha;	WELL-CHARACTERIZED
patA	b3073	3219494	3220873	putrescine aminotransferase	WELL-CHARACTERIZED
tisB	b4618	3853553	3853642	membrane-depolarizing toxin TisB	WELL-CHARACTERIZED
yfjP	b2632	2767710	2768573	CP4-57 prophage; putative GTP-binding protein YfjP	PARTIAL
rstB	b1609	1682882	1684183	RstB-<i>N</i>-phospho-L-histidine // sensor histidine kinase RstB	WELL-CHARACTERIZED
kbl	b3617	3791355	3792551	2-amino-3-ketobutyrate CoA ligase	WELL-CHARACTERIZED
argG	b3172	3318637	3319980	argininosuccinate synthetase	PARTIAL
aroM	b0390	407428	408105	protein AroM	UNCHARACTERIZED
nudK	b2467	2582903	2583478	GDP-mannose hydrolase	PARTIAL
ymgK	b4738	1212260	1212304	protein YmgK	UNCHARACTERIZED
sfmA	b0530	558212	558754	putative fimbrial protein SfmA	PARTIAL
nanS	b4309	4536614	4537594	<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate esterase	WELL-CHARACTERIZED
dgoT	b3691	3870438	3871730	D-galactonate:H<sup>+</sup> symporter	WELL-CHARACTERIZED
rplL	b3986	4180560	4180925	50S ribosomal subunit protein L7 // 50S ribosomal subunit protein L12	WELL-CHARACTERIZED
hybF	b2991	3139977	3140318	hydrogenase maturation protein HybF	WELL-CHARACTERIZED
kefF	b0046	47246	47776	regulator of KefC-mediated potassium transport and quinone oxidoreductase	WELL-CHARACTERIZED
valX	b2402	2521051	2521126	tRNA-Val(UAC)	WELL-CHARACTERIZED
bolA	b0435	454472	454789	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	PARTIAL
yaiW	b0378	397872	398966	surface-exposed outer membrane lipoprotein	PARTIAL
yagG	b0270	285395	286777	CP4-6 prophage; putative D-xylonate transporter YagG	PARTIAL
yqhJ	b4786	3111266	3111325	protein YqhJ	UNCHARACTERIZED
yhaC	b3121	3268415	3269602	uncharacterized protein YhaC	UNCHARACTERIZED
