Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization
G7611	b3097	3248969	3249337	G7611-MONOMER	UNCHARACTERIZED
G7534	b2966	3109553	3110260	G7534-MONOMER	UNCHARACTERIZED
G7407	b2689	2816512	2816940	G7407-MONOMER	PARTIAL
EG11621	b0199	221614	222645	ABC-MONOMER	WELL-CHARACTERIZED
G6856	b1598	1671960	1672781	G6856-MONOMER	PARTIAL
G7443	b2777	2904747	2905418	G7443-MONOMER	PARTIAL
EG11130	b1562	1645119	1645274	EG11130-MONOMER	WELL-CHARACTERIZED
EG11727	b3717	3898022	3898609	EG11727-MONOMER	PARTIAL
EG11927	b4038	4250703	4252283	EG11927-MONOMER	
G0-17101	b4826	1140986	1141063	RNA0-419	PARTIAL
EG10536	b3454	3592724	3593437	LIVF-MONOMER	WELL-CHARACTERIZED
G7462	b2834	2971597	2972637	G7462-MONOMER	PARTIAL
G6770	b1463	1534024	1534869	G6770-MONOMER	PARTIAL
EG12333	b0157	177001	177624	EG12333-MONOMER	UNCHARACTERIZED
EG11528	b1288	1350251	1351039	ENOYL-ACP-REDUCT-NADH-MONOMER	WELL-CHARACTERIZED
G6163	b0292	309358	310026	G6163-MONOMER	PARTIAL
EG11680	b3201	3343944	3344669	YHBG-MONOMER	WELL-CHARACTERIZED
G7908	b4294	4518527	4518802	G7908-MONOMER	PARTIAL
G7047	b1954	2025223	2025313	DSRA-RNA	PARTIAL
G7892	b4266	4492587	4493351	GLUCONREDUCT-MONOMER	WELL-CHARACTERIZED
G6821	b1547	1634885	1635847	G6821-MONOMER	PARTIAL
EG10222	b4384	4620883	4621602	DEOD-MONOMER	WELL-CHARACTERIZED
G0-9388	b4691	4190327	4190487	RNA0-128	PARTIAL
G7052	b4496	2034051	2035243	G7052-MONOMER	
G6196	b0331	348682	349572	G6196-MONOMER	WELL-CHARACTERIZED
EG20257	b2675	2801348	2803492	NRDE-MONOMER	WELL-CHARACTERIZED
G7596	b3073	3219494	3220873	G7596-MONOMER	WELL-CHARACTERIZED
G0-9962	b4618	3853553	3853642	MONOMER0-1922	WELL-CHARACTERIZED
G7367	b2632	2767710	2768573	G7367-MONOMER	PARTIAL
EG11233	b1609	1682882	1684183	PHOSPHO-RSTB // RSTB-MONOMER	WELL-CHARACTERIZED
EG10512	b3617	3791355	3792551	AKBLIG-MONOMER	WELL-CHARACTERIZED
EG10068	b3172	3318637	3319980	ARGSUCCINSYN-MONOMER	PARTIAL
EG10083	b0390	407428	408105	EG10083-MONOMER	UNCHARACTERIZED
